type,partisan,level,mean gamma bf,std gamma bf,mean gamma mds,std gamma mds,mean bimodality,std bimodality,total number of elections
B,0,1.0,0.8239142214624999,0.17175492083403915,0.7728869562812499,0.19450199026803947,0.5680782547395834,0.2683628332438121,96
E,0,1.0,0.7900537419375,0.16379883380655194,0.6621450113448276,0.18613135240951736,0.48495201603448274,0.2952535097583673,29
E,1,1.0,0.6074294416666667,0.10638132955234916,0.6640437145,0.08669979679251298,0.59898873775,0.12499674923648094,4
E,1,2.0,0.5714236385,0.3792853196089563,0.5280751555000001,0.3060874471275932,0.754338583,0.2036310396548341,2
E,DP,1.0,0.63104384025,0.1611347615656308,0.5764496418333334,0.17210849698331188,0.3870862033333333,0.143256684951596,6
E,DP,3.0,0.69377258,,0.672382805,0.08167973199906216,0.3878330122,0.39093619468325286,5
E,RP,1.0,0.9175632723333335,0.14278460072838559,0.9096255503333334,0.15653313852874284,0.7353990323333334,0.22550976840914566,3
O,0,1.0,0.8899100717333333,0.14495133550648295,0.8786372260666667,0.1503847143638135,0.6984773089333333,0.23845969987915758,15
O,1,1.0,0.757718882,0.24864072962923078,0.746127146,0.1607513433957752,0.367615763,0.0074426227268942075,2
O,DP,1.0,0.917117884,,0.690583891,0.2595975273946252,0.463996787,0.3498033091762205,2
R,0,1.0,0.8245169449495797,0.15088734911387966,0.7940539110909091,0.15901581334433038,0.5978111915950414,0.21389151112116203,121
R,1,1.0,0.8040015587999999,0.2962018163504007,0.8043004008000001,0.2955511155370428,0.7983835614,0.1135425952118811,5
R,1,2.0,0.9387914454871795,0.082992016449058,0.9218139240256411,0.09286946642712975,0.8328256726153845,0.1430780781791972,39
R,1,3.0,0.8404730803333332,0.09672608731713674,0.8272109355,0.10708743748402669,0.7322381099999999,0.18709502911365322,6
R,DP,1.0,0.7006305435483872,0.16953422744902574,0.6138501510434783,0.17851021510473158,0.5197685162826087,0.22097243646186687,46
R,RP,1.0,0.9460011675,0.1322695863310169,0.9519556333333333,0.11768418334851403,0.7356441134999999,0.242396843884404,6
S,1,2.0,0.9640746694444444,0.04719784203986324,0.9445202251666667,0.07320990093548316,0.8434329676111111,0.11701710866215498,18
S,1,3.0,0.831821701,,0.82133641,,0.87220012,,1
